medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
F1088AC57DE0D89227D4770B53427A2D,92AD6D9988BC05CC9282C0BBBE453372,VTS,1,,2013-02-01 15:13:00,2013-02-01 15:26:00,2,780,.95,-73.981499,40.763233,-73.989876,40.752117
19B10C15EEBFE03D0B899DF50CBEA912,8BAF0B49E5213E010109D31BDF591FD6,VTS,1,,2013-02-01 14:09:00,2013-02-01 14:24:00,2,900,2.88,-74.009964,40.72118,-73.993431,40.743263
E11D781DA9AC46567A04DBC00303156C,5CEADCA12C881ED928BF3C046CF9E961,VTS,1,,2013-02-01 13:27:00,2013-02-01 13:41:00,2,840,1.56,-73.99115,40.751293,-73.976738,40.759274
B48B1375CD301CADFC4AA5208B5C157C,0AD8D9ED455E6C0A5737A7F4D508506B,VTS,1,,2013-02-01 14:43:00,2013-02-01 15:06:00,2,1380,.92,-73.983109,40.749538,-73.987556,40.740791
1955FB9A623713CF0A46DBEA841065A1,6541A5909BC04300C2145DCECE3020D9,VTS,1,,2013-02-01 15:39:00,2013-02-01 15:44:00,3,300,.62,-73.958847,40.76815,-73.963989,40.76133
D3D055476B49E90E47BD255A23AFAFBE,1BE91BA83CBB3A525332E249BC9EAB3D,VTS,1,,2013-02-01 15:15:00,2013-02-01 15:45:00,1,1800,2.15,-73.991913,40.75415,-73.983177,40.744236
CE4E6C23CB56FFDD28EAE4FD70C54CAE,517E1DF5C14F7C75EF1DEC39B6ECAF8A,VTS,1,,2013-02-01 14:49:00,2013-02-01 15:02:00,2,780,2.68,-73.985886,40.752514,-73.966324,40.773075
9E12B0F5736A23DA3D200DCDA35260AD,AD662950C89BAF768FC2E32BC3CEFF56,VTS,1,,2013-02-01 15:34:00,2013-02-01 15:54:00,1,1200,4.49,-73.954567,40.789597,-73.975662,40.735264
DFC912B9AD72967A8DD093397BDC7444,53CC5576B124EACDDE0A01E7C3F94076,VTS,1,,2013-02-01 15:33:00,2013-02-01 16:00:00,1,1620,9.70,-73.985123,40.732067,-73.885529,40.773163
39114A4514A8995C63B025B91BD56D26,FAA39BEB7D7159DCB3DCAC56EED0CEA7,VTS,1,,2013-02-01 15:44:00,2013-02-01 15:53:00,6,540,1.74,-73.965439,40.774704,-73.982651,40.762836
99B11DDC2A81EA90EFE7C5FF33250BB3,83272B8BE0C52BE314FA8D3D935CF910,VTS,1,,2013-02-01 15:49:00,2013-02-01 15:59:00,1,600,.94,-73.989929,40.725578,-73.994179,40.714104
2B859C5416C9CB678AAA6C2B925DB1FE,34C6FDAB194EA0FCD81BAAB38E21BBB9,VTS,1,,2013-02-01 16:52:00,2013-02-01 16:59:00,1,420,.68,-73.986847,40.750446,-73.978661,40.750225
8FA9C65C3AB8D9A2FD371CA9E83AAB82,27DF2DE70E808CF4FF02A3B0A7EC232E,VTS,1,,2013-02-01 16:08:00,2013-02-01 16:12:00,1,240,.45,-73.980515,40.734379,-73.990753,40.733994
2637FB352BF7E5B99BEBD26E53C7B31B,765A460C498ABC875B7F0B719E6EB71E,VTS,1,,2013-02-01 15:27:00,2013-02-01 15:35:00,1,480,.90,-73.943245,40.753185,-73.938042,40.750931
CAC1EDFA3030AE06FDE1E572BC5B050C,4C05E2208BA64AFC8D4E51D121996339,VTS,1,,2013-02-01 13:47:00,2013-02-01 13:57:00,6,600,1.36,-73.987976,40.727936,-73.981094,40.74173
5087BB78CF858C53F8E5BB2C75B59369,87F1D0766EF99877BCBDE655ABD718CB,VTS,2,,2013-02-01 14:36:00,2013-02-01 15:41:00,5,3900,18.19,-73.982986,40.762325,-73.78167,40.648407
F32C996F49594F21C3C14A9E1821A81A,1A98A194B4B16EE027DADBD14E1CF8E4,VTS,1,,2013-02-01 15:50:00,2013-02-01 16:00:00,2,600,1.51,-73.995667,40.764496,-73.976776,40.758469
5D4C105C32FB4E64D50BC8EC88AE4C41,2D33FF8C0EBAEF5FC1DE86F1035306BE,VTS,1,,2013-02-01 15:57:00,2013-02-01 16:00:00,5,180,.44,-73.96402,40.803123,-73.964699,40.807961
A9626C2CDA014D2A02529ECB953277D2,3B733419BE136BBA06AF65378AC9D6FC,VTS,1,,2013-02-01 16:09:00,2013-02-01 16:14:00,1,300,.89,-73.956703,40.785732,-73.954277,40.778988
B3FB4B9C7494E6E2DB9CC9CD64B1CB44,CF33378F9991D930EF60501BBA88F234,VTS,1,,2013-02-01 16:08:00,2013-02-01 16:24:00,1,960,2.25,-73.955376,40.777054,-73.967667,40.767918
084EBAFD06DB6B84F2584B9FA0CEEB82,E70BCB92622D925BA98757D2ECE46641,VTS,1,,2013-02-01 16:35:00,2013-02-01 16:46:00,1,660,1.25,-73.987457,40.751331,-73.972374,40.754414
455853347D3BB7FABDD1FE87016DE741,8433A1183AAD10169BD1B9BD7013ED3B,VTS,1,,2013-02-01 16:38:00,2013-02-01 16:49:00,1,660,.77,-73.974258,40.753944,-73.96907,40.758217
5A1B1E7E7466145FA1CF552E493A4C91,815F8AA624D6EFB8E86E13A479057894,VTS,1,,2013-02-01 16:35:00,2013-02-01 16:42:00,1,420,1.74,-73.987129,40.736584,-74.006836,40.730228
A8F46CBAAF164F60BBE1D00EE1DBA331,76FE35B1343D30A42E02530F9382A3F0,VTS,1,,2013-02-01 16:24:00,2013-02-01 16:29:00,1,300,1.14,-73.968773,40.765793,-73.982185,40.77232
1C6DD9530E52969E2B4574700F4A558D,C7FC546AF6A7E602411BCA0D1AEBA006,VTS,1,,2013-02-01 14:50:00,2013-02-01 15:00:00,1,600,1.11,-73.994606,40.750553,-73.993477,40.762444
5CA1951A7432546991F85D3535364C47,A215179E13E3AFEA96593E8AA44298BF,VTS,1,,2013-02-01 16:30:00,2013-02-01 16:36:00,1,360,1.03,-74.004234,40.719227,-74.002098,40.729729
B7ECBE753A4030610A97FBA55A4B2E07,1897F159E70105C6C0D587E38262B39F,VTS,1,,2013-02-01 14:20:00,2013-02-01 14:32:00,5,720,2.95,-73.985329,40.773361,-73.960754,40.806965
2A487A0A70F8C672070050A3CF7C376B,AFE0CAACD946629CCDDAD250CAB60BAC,VTS,1,,2013-02-01 16:12:00,2013-02-01 16:21:00,1,540,1.63,-73.955833,40.782085,-73.979813,40.786804
9E0FF4A265C054381E44CC424E964D3E,6C095C417992F7F09B2C4F96BF661657,VTS,1,,2013-02-01 16:39:00,2013-02-01 16:47:00,1,480,.95,-73.993301,40.752209,-73.96727,40.767082
F260CA356DD2F4F2C81F2E12F20CE5DC,06D94B67A6324FC6547D8203B49813B2,VTS,1,,2013-02-01 14:19:00,2013-02-01 14:29:00,1,600,1.50,-73.989494,40.739582,-73.975449,40.749241
3541D0677EEEA07B67E645E12F04F517,5514E59A5CEA0379EA6F7F12ABE87489,VTS,1,,2013-02-01 15:07:00,2013-02-01 15:21:00,1,840,1.98,-73.990646,40.736526,-73.981865,40.749275
57620FB7786B35FDEE1F99BB3F438FD7,F72F79D2EF537D1FF75792B9C668F8B8,VTS,1,,2013-02-01 13:34:00,2013-02-01 13:41:00,1,420,1.89,-73.979301,40.752876,-73.979141,40.771938
3056502BBF64871CF4B916154336168D,1E2C9C8706C11400E3CE56DD3109217B,VTS,1,,2013-02-01 15:48:00,2013-02-01 16:01:00,1,780,.76,-73.99321,40.742729,-73.987633,40.752316
61A3DDE86CFE15B71C0C4C08C6DC6DEB,087CA444D08A3A01297B465F0970C777,VTS,1,,2013-02-01 15:37:00,2013-02-01 15:46:00,1,540,1.44,-73.989502,40.733517,-74.005554,40.730198
1A08A75D4F6A3BBD4D950B4926156880,9B842470208B05E6008454C5E47830BF,VTS,1,,2013-02-01 15:49:00,2013-02-01 15:58:00,1,540,.81,-73.985527,40.758461,-73.973427,40.752888
FF1BEB012AE73DBA4F1C988117BA5F76,C04419235E06C67DBEDD1B4A8E9D7C8C,VTS,1,,2013-02-01 15:10:00,2013-02-01 15:18:00,1,480,.99,-73.979408,40.756607,-73.966042,40.803967
E721414E23BDCE6032A36E6F57CF7F4F,D5355547C3061BD562147F625F521B89,VTS,1,,2013-02-01 15:39:00,2013-02-01 15:42:00,1,180,.58,-73.961372,40.760319,-73.958061,40.766232
30773A71A3FF0114F9C3855E8C95C7FA,C44ECD760F3B383AC1D9593D343F633D,VTS,1,,2013-02-01 17:16:00,2013-02-01 17:26:00,1,600,1.10,-73.9879,40.73774,-73.989532,40.748005
890C5F983D3A467C2AF4AF51F4BABBC6,576BE755EFCFEE34F78EB4BB80E461BA,VTS,1,,2013-02-01 13:58:00,2013-02-01 14:06:00,4,480,1.33,-73.986229,40.762314,-73.96801,40.759018
5962CEB4E6066574DBF1A68FEA600E23,E797C72C891D9599B28511B9ADB3057D,VTS,1,,2013-02-01 15:48:00,2013-02-01 15:51:00,1,180,.69,-73.981438,40.779453,-73.981438,40.779453
6FDA7FD58327D58C6CBB34FEC5F6A8CB,416FC9B5259228A1A7D49651CAE6FF12,VTS,1,,2013-02-01 17:06:00,2013-02-01 17:12:00,5,360,1.16,-73.980232,40.74588,-73.974197,40.756542
